addresses,contracts,createdAt,description,hash,metadata,name,projects,protocol,severity,scanNodeCount,source,findingType
"[""0xf5992bc6b1fa61b7e54599a9423ee2a23a257cb0"",""0x6437adac543583c4b31bf0323a0870430f5cc2e7"",""0x14def7584a6c52f470ca4f4b9671056b22f4ffde"",""0x7536b89f556533200b063e112db947192335a981"",""0x9b13818987c0226b0d1629fe16cdd52255ffd45f"",""0x83cd44c5175318ac98f82389e5a834e7076418bd""]","[{""address"":""0xf5992bc6b1fa61b7e54599a9423ee2a23a257cb0"",""name"":"""",""projectId"":""""},{""address"":""0x6437adac543583c4b31bf0323a0870430f5cc2e7"",""name"":"""",""projectId"":""""},{""address"":""0x14def7584a6c52f470ca4f4b9671056b22f4ffde"",""name"":"""",""projectId"":""""},{""address"":""0x7536b89f556533200b063e112db947192335a981"",""name"":"""",""projectId"":""""},{""address"":""0x9b13818987c0226b0d1629fe16cdd52255ffd45f"",""name"":"""",""projectId"":""""},{""address"":""0x83cd44c5175318ac98f82389e5a834e7076418bd"",""name"":"""",""projectId"":""""}]",2022-09-16T01:04:43.582920546Z,0x9b13818987c0226b0d1629fe16cdd52255ffd45f launched flash loan attack,0xd70129c8c20c1e101a54769c04f4fbdf0a95266fc47b5a76a761a304a13d404d,"{""profit"":""1.36"",""tokens"":""0x6437adac543583c4b31bf0323a0870430f5cc2e7,0x14def7584a6c52f470ca4f4b9671056b22f4ffde""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0x5296fd017a9125bfd98b744641d79ab649545c34625399cc9d6aa030871bce53"",""block"":{""number"":47018321,""hash"":""0x00025a3200000941a813213404d99618f9f1d1dbd95f993f23a9287b2678f615"",""timestamp"":""2022-09-16T01:04:24Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""0x1a8a4dc716e9379e84e907b0c740d2c622f7cfb7"",""0xd9473a05b2edf4f614593ba5d1dbd3021d8e0ebe"",""0x6446df3eb5fb6093e86d67911138f6eb80917918"",""0xadba8867b6ff64ee650caf87dd3e943ed7329018"",""0x873fa944414f569b23649eb92dbb254340b6b25d"",""0xbf4906762c38f50bc7be0a11bb452c944f6c72e1"",""0x20dd72ed959b6147912c2e529f0a0c651c33c9ce"",""0x39720e5fe53beeeb9de4759cb91d8e7d42c17b76"",""0x04068da6c83afcfa0e13ba15a6696662335d5b75""]","[{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""},{""address"":""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""name"":"""",""projectId"":""""},{""address"":""0x1a8a4dc716e9379e84e907b0c740d2c622f7cfb7"",""name"":"""",""projectId"":""""},{""address"":""0xd9473a05b2edf4f614593ba5d1dbd3021d8e0ebe"",""name"":"""",""projectId"":""""},{""address"":""0x6446df3eb5fb6093e86d67911138f6eb80917918"",""name"":"""",""projectId"":""""},{""address"":""0xadba8867b6ff64ee650caf87dd3e943ed7329018"",""name"":"""",""projectId"":""""},{""address"":""0x873fa944414f569b23649eb92dbb254340b6b25d"",""name"":"""",""projectId"":""""},{""address"":""0xbf4906762c38f50bc7be0a11bb452c944f6c72e1"",""name"":"""",""projectId"":""""},{""address"":""0x20dd72ed959b6147912c2e529f0a0c651c33c9ce"",""name"":"""",""projectId"":""""},{""address"":""0x39720e5fe53beeeb9de4759cb91d8e7d42c17b76"",""name"":"""",""projectId"":""""},{""address"":""0x04068da6c83afcfa0e13ba15a6696662335d5b75"",""name"":"""",""projectId"":""""}]",2022-09-15T22:17:52.167918971Z,0x6446df3eb5fb6093e86d67911138f6eb80917918 launched flash loan attack,0x4bdd0f95b067808bb8e56d0d646b4e7c8d912cd9dfbcbe2fbbdbafbfe1ce80f0,"{""profit"":""0.01"",""tokens"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0xbf4906762c38f50bc7be0a11bb452c944f6c72e1,0x04068da6c83afcfa0e13ba15a6696662335d5b75""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0x6579cf69d3a46e6e3d415ac7b751f7f4b889626a280a894d8be9fa244ff7c017"",""block"":{""number"":47011548,""hash"":""0x00025a110000015b965d057690c9d35eea9d2bdb5d707bb2b4216a639958385a"",""timestamp"":""2022-09-15T22:17:29Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""0x74928bfae5d4de45df48d9652de02ece529e8729"",""0xe61467662f373c89911a3c2a5c492e56f27a882d"",""0xe3fef65a607ef6c74476587e2e764c1ef6632b9d"",""0x152ee697f2e276fa89e96742e9bb9ab1f2e61be3"",""0xd9473a05b2edf4f614593ba5d1dbd3021d8e0ebe"",""0x402474d409fe3376d9d90effe8a478659beef14d"",""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb"",""0x82f0b8b456c1a451378467398982d4834b6829c1"",""0xbf6c0d34d4944354b386561741e9895899cdf3f3""]","[{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""},{""address"":""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""name"":"""",""projectId"":""""},{""address"":""0x74928bfae5d4de45df48d9652de02ece529e8729"",""name"":"""",""projectId"":""""},{""address"":""0xe61467662f373c89911a3c2a5c492e56f27a882d"",""name"":"""",""projectId"":""""},{""address"":""0xe3fef65a607ef6c74476587e2e764c1ef6632b9d"",""name"":"""",""projectId"":""""},{""address"":""0x152ee697f2e276fa89e96742e9bb9ab1f2e61be3"",""name"":"""",""projectId"":""""},{""address"":""0xd9473a05b2edf4f614593ba5d1dbd3021d8e0ebe"",""name"":"""",""projectId"":""""},{""address"":""0x402474d409fe3376d9d90effe8a478659beef14d"",""name"":"""",""projectId"":""""},{""address"":""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""name"":"""",""projectId"":""""},{""address"":""0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb"",""name"":"""",""projectId"":""""},{""address"":""0x82f0b8b456c1a451378467398982d4834b6829c1"",""name"":"""",""projectId"":""""},{""address"":""0xbf6c0d34d4944354b386561741e9895899cdf3f3"",""name"":"""",""projectId"":""""}]",2022-09-15T22:16:58.488007897Z,0xe3fef65a607ef6c74476587e2e764c1ef6632b9d launched flash loan attack,0x309956b1b9ce6cb0ddf3ece0b8eaa7d0d948b3601790adad6910964864f99caf,"{""profit"":""0.05"",""tokens"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb,0x82f0b8b456c1a451378467398982d4834b6829c1""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0x5c63ff6d75ee1d10d0b7476394acc25c1a0973124a9703d02d809608ccaf6503"",""block"":{""number"":47011534,""hash"":""0x00025a100000059cf77fc2312018cabd47af49aee7ce7430961c01626bc9c328"",""timestamp"":""2022-09-15T22:16:34Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x82f0b8b456c1a451378467398982d4834b6829c1"",""0xe61467662f373c89911a3c2a5c492e56f27a882d"",""0x402474d409fe3376d9d90effe8a478659beef14d"",""0xc5bc174cb6382fbab17771d05e6a918441deceea"",""0xe3fef65a607ef6c74476587e2e764c1ef6632b9d"",""0xbf6c0d34d4944354b386561741e9895899cdf3f3"",""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb"",""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""0x1e6ef0e4959876834855af4c1f79b74eb6580725"",""0x152ee697f2e276fa89e96742e9bb9ab1f2e61be3""]","[{""address"":""0x82f0b8b456c1a451378467398982d4834b6829c1"",""name"":"""",""projectId"":""""},{""address"":""0xe61467662f373c89911a3c2a5c492e56f27a882d"",""name"":"""",""projectId"":""""},{""address"":""0x402474d409fe3376d9d90effe8a478659beef14d"",""name"":"""",""projectId"":""""},{""address"":""0xc5bc174cb6382fbab17771d05e6a918441deceea"",""name"":"""",""projectId"":""""},{""address"":""0xe3fef65a607ef6c74476587e2e764c1ef6632b9d"",""name"":"""",""projectId"":""""},{""address"":""0xbf6c0d34d4944354b386561741e9895899cdf3f3"",""name"":"""",""projectId"":""""},{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""},{""address"":""0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb"",""name"":"""",""projectId"":""""},{""address"":""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""name"":"""",""projectId"":""""},{""address"":""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""name"":"""",""projectId"":""""},{""address"":""0x1e6ef0e4959876834855af4c1f79b74eb6580725"",""name"":"""",""projectId"":""""},{""address"":""0x152ee697f2e276fa89e96742e9bb9ab1f2e61be3"",""name"":"""",""projectId"":""""}]",2022-09-15T22:10:07.134074333Z,0xe3fef65a607ef6c74476587e2e764c1ef6632b9d launched flash loan attack,0xa2d912609bb24d8aed8cc21dcdfc4e21d8b9cb887bc7e1670d49eb33e5c33fed,"{""profit"":""0.05"",""tokens"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb,0x82f0b8b456c1a451378467398982d4834b6829c1""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0x724a4a31691174185eaa5c0829bc63272f4efd646c6f7b2aa2dc5535b1798f1c"",""block"":{""number"":47011311,""hash"":""0x00025a0f0000010830c329f44d524c2f39fbbbe7f3a5116f4d7a5a8cc6f960db"",""timestamp"":""2022-09-15T22:09:48Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0xc09a82ad5075b3067d80f54f05e1e22229699cc1"",""0x9270bd93a9298047fdbab9cbd3bd87fe674a907b"",""0x675b187d4d0c5155a4d595e4ee01800fd81745d1"",""0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb"",""0x82f0b8b456c1a451378467398982d4834b6829c1"",""0x050319d115ec17e5d459ffdead6c10ec51a517b2"",""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""0x0000000000000000000000000000000000000000"",""0x8803a4453bffa5e1c9ae4c514686732b16286523"",""0x7d26c7d8c9a370f9a49e0dfe99f7ddd0ef2d8a34"",""0xd9473a05b2edf4f614593ba5d1dbd3021d8e0ebe"",""0xa770760d7f17305f46cd4749fbf5a6c951e3cb63"",""0x402474d409fe3376d9d90effe8a478659beef14d""]","[{""address"":""0xc09a82ad5075b3067d80f54f05e1e22229699cc1"",""name"":"""",""projectId"":""""},{""address"":""0x9270bd93a9298047fdbab9cbd3bd87fe674a907b"",""name"":"""",""projectId"":""""},{""address"":""0x675b187d4d0c5155a4d595e4ee01800fd81745d1"",""name"":"""",""projectId"":""""},{""address"":""0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb"",""name"":"""",""projectId"":""""},{""address"":""0x82f0b8b456c1a451378467398982d4834b6829c1"",""name"":"""",""projectId"":""""},{""address"":""0x050319d115ec17e5d459ffdead6c10ec51a517b2"",""name"":"""",""projectId"":""""},{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""},{""address"":""0x0000000000000000000000000000000000000000"",""name"":"""",""projectId"":""""},{""address"":""0x8803a4453bffa5e1c9ae4c514686732b16286523"",""name"":"""",""projectId"":""""},{""address"":""0x7d26c7d8c9a370f9a49e0dfe99f7ddd0ef2d8a34"",""name"":"""",""projectId"":""""},{""address"":""0xd9473a05b2edf4f614593ba5d1dbd3021d8e0ebe"",""name"":"""",""projectId"":""""},{""address"":""0xa770760d7f17305f46cd4749fbf5a6c951e3cb63"",""name"":"""",""projectId"":""""},{""address"":""0x402474d409fe3376d9d90effe8a478659beef14d"",""name"":"""",""projectId"":""""}]",2022-09-15T22:04:13.450754347Z,0x8803a4453bffa5e1c9ae4c514686732b16286523 launched flash loan attack,0x1b48804a5869f567b816901e41127a910c2aa562bf0564598ec40f64d5322b32,"{""profit"":""0.05"",""tokens"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0xc09a82ad5075b3067d80f54f05e1e22229699cc1,0x26aeb3441428eeaf7d653e9a5b455c57dd8d8eeb,0x82f0b8b456c1a451378467398982d4834b6829c1""}",Flashloan detected,,ethereum,LOW,2,"{""transactionHash"":""0x84e7e431d2c233819dfb847fa1d142f47a07b4c5033c1177a43e3984274ff803"",""block"":{""number"":47011145,""hash"":""0x00025a0d000006f3910429d80a4945def2bc49000629fc67056f84ebe0939371"",""timestamp"":""2022-09-15T22:03:42Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x131c7afb4e5f5c94a27611f7210dfec2215e85ae"",""0x6f65b9ee6cafa95b641488f3188f937fc1a4772a"",""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""0x7536b89f556533200b063e112db947192335a981"",""0xdf88534cd405d6c37d2f978d49640694f24e1460"",""0x8eae6aac525e6ec6a686f77e4751d3e8f96f6a83"",""0x4b3a4b3ed8953fd5a68b038bd2b7a8839942e7ed"",""0x01db78bcd4b36eacee34d237c4a472bb301106de""]","[{""address"":""0x131c7afb4e5f5c94a27611f7210dfec2215e85ae"",""name"":"""",""projectId"":""""},{""address"":""0x6f65b9ee6cafa95b641488f3188f937fc1a4772a"",""name"":"""",""projectId"":""""},{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""},{""address"":""0x7536b89f556533200b063e112db947192335a981"",""name"":"""",""projectId"":""""},{""address"":""0xdf88534cd405d6c37d2f978d49640694f24e1460"",""name"":"""",""projectId"":""""},{""address"":""0x8eae6aac525e6ec6a686f77e4751d3e8f96f6a83"",""name"":"""",""projectId"":""""},{""address"":""0x4b3a4b3ed8953fd5a68b038bd2b7a8839942e7ed"",""name"":"""",""projectId"":""""},{""address"":""0x01db78bcd4b36eacee34d237c4a472bb301106de"",""name"":"""",""projectId"":""""}]",2022-09-15T19:50:04.479217187Z,0xdf88534cd405d6c37d2f978d49640694f24e1460 launched flash loan attack,0x72e39bd8c4c012582c42609626f2e6ae5ea09332280ccdace705e647c57d01f8,"{""profit"":""1.31"",""tokens"":""0x131c7afb4e5f5c94a27611f7210dfec2215e85ae,0x6f65b9ee6cafa95b641488f3188f937fc1a4772a,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0xf3a863421e2cd8b751c76a725a3ac306adce666f305691ee5e8b001446e8acdd"",""block"":{""number"":47004602,""hash"":""0x000259f50000005d3655c05b389aaa2ea08a95336ff999f119a4b569bac52f61"",""timestamp"":""2022-09-15T19:49:49Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x4b3a4b3ed8953fd5a68b038bd2b7a8839942e7ed"",""0x01db78bcd4b36eacee34d237c4a472bb301106de"",""0x131c7afb4e5f5c94a27611f7210dfec2215e85ae"",""0x6f65b9ee6cafa95b641488f3188f937fc1a4772a"",""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""0x7536b89f556533200b063e112db947192335a981"",""0xdf88534cd405d6c37d2f978d49640694f24e1460"",""0x8eae6aac525e6ec6a686f77e4751d3e8f96f6a83""]","[{""address"":""0x4b3a4b3ed8953fd5a68b038bd2b7a8839942e7ed"",""name"":"""",""projectId"":""""},{""address"":""0x01db78bcd4b36eacee34d237c4a472bb301106de"",""name"":"""",""projectId"":""""},{""address"":""0x131c7afb4e5f5c94a27611f7210dfec2215e85ae"",""name"":"""",""projectId"":""""},{""address"":""0x6f65b9ee6cafa95b641488f3188f937fc1a4772a"",""name"":"""",""projectId"":""""},{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""},{""address"":""0x7536b89f556533200b063e112db947192335a981"",""name"":"""",""projectId"":""""},{""address"":""0xdf88534cd405d6c37d2f978d49640694f24e1460"",""name"":"""",""projectId"":""""},{""address"":""0x8eae6aac525e6ec6a686f77e4751d3e8f96f6a83"",""name"":"""",""projectId"":""""}]",2022-09-15T19:49:04.439568413Z,0xdf88534cd405d6c37d2f978d49640694f24e1460 launched flash loan attack,0x051df609de1731a10b90dcd5bd841d5884d8a05c4433a53bab8c11b9ea8036e7,"{""profit"":""1.21"",""tokens"":""0x131c7afb4e5f5c94a27611f7210dfec2215e85ae,0x6f65b9ee6cafa95b641488f3188f937fc1a4772a,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0x484698d0da0188d3fc4bc58c8eecb40b8bb4a1fa2249a0edacf277dd1291dcf0"",""block"":{""number"":47004566,""hash"":""0x000259f4000006a4b8916208b45337baddf0fcebee29d889d57a29f604a72d36"",""timestamp"":""2022-09-15T19:48:47Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0xe4bc39fdd4618a76f6472079c329bdfa820afa75"",""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""0x90e867f3bb91ebe76751e52ad4996ffa4ec053ca"",""0x164ff00559bcdb1f49333904870241249b047a9a"",""0xa3bf7336fdbce054c4b5bad4ff8d79539db2a2b3"",""0xa20e7f1de770dcd49c8e7ce183c35d0741722460"",""0x888ef71766ca594ded1f0fa3ae64ed2941740a20"",""0x4365c7dd814e1f4b3104b6b5c1079b32b1ea6e8d"",""0x17ddda0d5d23fef8e7dcfce7923eb16b7ac95d53"",""0xda0053f0befcbcac208a3f867bb243716734d809"",""0xd8df63aed13f32b11593aaa421f050a6d6476a94"",""0x8d419b85968ce060883ec302776f9262002b52a2"",""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83""]","[{""address"":""0xe4bc39fdd4618a76f6472079c329bdfa820afa75"",""name"":"""",""projectId"":""""},{""address"":""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""name"":"""",""projectId"":""""},{""address"":""0x90e867f3bb91ebe76751e52ad4996ffa4ec053ca"",""name"":"""",""projectId"":""""},{""address"":""0x164ff00559bcdb1f49333904870241249b047a9a"",""name"":"""",""projectId"":""""},{""address"":""0xa3bf7336fdbce054c4b5bad4ff8d79539db2a2b3"",""name"":"""",""projectId"":""""},{""address"":""0xa20e7f1de770dcd49c8e7ce183c35d0741722460"",""name"":"""",""projectId"":""""},{""address"":""0x888ef71766ca594ded1f0fa3ae64ed2941740a20"",""name"":"""",""projectId"":""""},{""address"":""0x4365c7dd814e1f4b3104b6b5c1079b32b1ea6e8d"",""name"":"""",""projectId"":""""},{""address"":""0x17ddda0d5d23fef8e7dcfce7923eb16b7ac95d53"",""name"":"""",""projectId"":""""},{""address"":""0xda0053f0befcbcac208a3f867bb243716734d809"",""name"":"""",""projectId"":""""},{""address"":""0xd8df63aed13f32b11593aaa421f050a6d6476a94"",""name"":"""",""projectId"":""""},{""address"":""0x8d419b85968ce060883ec302776f9262002b52a2"",""name"":"""",""projectId"":""""},{""address"":""0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83"",""name"":"""",""projectId"":""""}]",2022-09-15T19:39:34.443384597Z,0x8d419b85968ce060883ec302776f9262002b52a2 launched flash loan attack,0x1d428da02310dd99091ed3b337dc9833ff93c046f586be0bcd43b8f8d58a1ea8,"{""profit"":""0.16"",""tokens"":""0x888ef71766ca594ded1f0fa3ae64ed2941740a20,0xda0053f0befcbcac208a3f867bb243716734d809,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83""}",Flashloan detected,,ethereum,LOW,3,"{""transactionHash"":""0x9a112fd8abc9e1621c045711ac66914fdb1b22bfce6a37aa029bc32f29f616f3"",""block"":{""number"":47004264,""hash"":""0x000259f1000005e4e9d5ef3adb5bd5714427e394b1f2c8df5742f6c3a588953a"",""timestamp"":""2022-09-15T19:39:17Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x5a3aa3284ee642152d4a2b55be1160051c5eb932"",""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""0xf24bcf4d1e507740041c9cfd2dddb29585adce1e"",""0xfcef8a994209d6916eb2c86cdd2afd60aa6f54b1"",""0xeba55375dd0e36019873611408fd642554ec94b3"",""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""0x20dd72ed959b6147912c2e529f0a0c651c33c9ce"",""0x0a42326c6ee024f314c7e8dc5e8bd4af194d548f"",""0xe3fef65a607ef6c74476587e2e764c1ef6632b9d""]","[{""address"":""0x5a3aa3284ee642152d4a2b55be1160051c5eb932"",""name"":"""",""projectId"":""""},{""address"":""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""name"":"""",""projectId"":""""},{""address"":""0xf24bcf4d1e507740041c9cfd2dddb29585adce1e"",""name"":"""",""projectId"":""""},{""address"":""0xfcef8a994209d6916eb2c86cdd2afd60aa6f54b1"",""name"":"""",""projectId"":""""},{""address"":""0xeba55375dd0e36019873611408fd642554ec94b3"",""name"":"""",""projectId"":""""},{""address"":""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""name"":"""",""projectId"":""""},{""address"":""0x20dd72ed959b6147912c2e529f0a0c651c33c9ce"",""name"":"""",""projectId"":""""},{""address"":""0x0a42326c6ee024f314c7e8dc5e8bd4af194d548f"",""name"":"""",""projectId"":""""},{""address"":""0xe3fef65a607ef6c74476587e2e764c1ef6632b9d"",""name"":"""",""projectId"":""""}]",2022-09-15T19:00:22.299388678Z,0xe3fef65a607ef6c74476587e2e764c1ef6632b9d launched flash loan attack,0x91143865b925d4ac653a1c32ed675678cc263b2ecd7ac549dfc001aef0254e15,"{""profit"":""0.55"",""tokens"":""0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,0xfcef8a994209d6916eb2c86cdd2afd60aa6f54b1""}",Flashloan detected,,ethereum,LOW,2,"{""transactionHash"":""0xea31f4ab64b7681ad8b0b67cd31809dea066e6c6d8a3d844a556cdcd145ad89f"",""block"":{""number"":47002753,""hash"":""0x000259e800000235e89fcca9e2b91884e246ca44c77cf045ca9a07bef1db6bc5"",""timestamp"":""2022-09-15T19:00:02Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
"[""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""0xeba55375dd0e36019873611408fd642554ec94b3"",""0xa6895f62335bfae16a91ecdde29fe92b04e7f38a"",""0x75c6904d4745713643661c1fd80205e75dafb578"",""0xb3f5fdc0d65628fe43c0f15b2a37a26e932afb83"",""0x5a3aa3284ee642152d4a2b55be1160051c5eb932"",""0xf24bcf4d1e507740041c9cfd2dddb29585adce1e"",""0xfcef8a994209d6916eb2c86cdd2afd60aa6f54b1""]","[{""address"":""0x184f34fdde38e1a3cc59d0f4de5b9551c70c389e"",""name"":"""",""projectId"":""""},{""address"":""0x3faab499b519fdc5819e3d7ed0c26111904cbc28"",""name"":"""",""projectId"":""""},{""address"":""0xeba55375dd0e36019873611408fd642554ec94b3"",""name"":"""",""projectId"":""""},{""address"":""0xa6895f62335bfae16a91ecdde29fe92b04e7f38a"",""name"":"""",""projectId"":""""},{""address"":""0x75c6904d4745713643661c1fd80205e75dafb578"",""name"":"""",""projectId"":""""},{""address"":""0xb3f5fdc0d65628fe43c0f15b2a37a26e932afb83"",""name"":"""",""projectId"":""""},{""address"":""0x5a3aa3284ee642152d4a2b55be1160051c5eb932"",""name"":"""",""projectId"":""""},{""address"":""0xf24bcf4d1e507740041c9cfd2dddb29585adce1e"",""name"":"""",""projectId"":""""},{""address"":""0xfcef8a994209d6916eb2c86cdd2afd60aa6f54b1"",""name"":"""",""projectId"":""""}]",2022-09-15T18:59:04.498832901Z,0xa6895f62335bfae16a91ecdde29fe92b04e7f38a launched flash loan attack,0x0458191bc1b18ef2f1f4ffb7ef846f7fd7ff263ecaa26091825a99b0b1567775,"{""profit"":""0.15"",""tokens"":""0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,0xfcef8a994209d6916eb2c86cdd2afd60aa6f54b1""}",Flashloan detected,,ethereum,LOW,1,"{""transactionHash"":""0x683ef30fa891c7a926b8fc5ebe4ab6d208149488e4aecafb0f6d09de4b23ef5f"",""block"":{""number"":47002726,""hash"":""0x000259e70000040d7a648884f23159e5c1baf2213a95081630c4955e81395e2e"",""timestamp"":""2022-09-15T18:58:36Z"",""chainId"":250},""bot"":{""id"":""0x55636f5577694c83b84b0687eb77863850c50bd9f6072686c8463a0cbc5566e0"",""name"":null}}",EXPLOIT
