day,project,usd_volume
2020-08-01T00:00:00+00:00,Uniswap,111949046.44292141
2020-08-02T00:00:00+00:00,Uniswap,99057766.99964274
2020-08-03T00:00:00+00:00,Uniswap,98828534.9238541
2020-08-04T00:00:00+00:00,Uniswap,95631939.82938324
2020-08-05T00:00:00+00:00,Uniswap,91283605.03958756
2020-08-06T00:00:00+00:00,Uniswap,92658912.99186043
2020-08-07T00:00:00+00:00,Uniswap,139438901.30658486
2020-08-08T00:00:00+00:00,Uniswap,141243474.50929853
2020-08-09T00:00:00+00:00,Uniswap,167926822.70480627
2020-08-10T00:00:00+00:00,Uniswap,257178517.02966997
2020-08-11T00:00:00+00:00,Uniswap,191612410.1057805
2020-08-12T00:00:00+00:00,Uniswap,276682661.01246643
2020-08-13T00:00:00+00:00,Uniswap,254628427.7550196
2020-08-14T00:00:00+00:00,Uniswap,221354088.1510908
2020-08-15T00:00:00+00:00,Uniswap,173678206.18428975
2020-08-16T00:00:00+00:00,Uniswap,185344542.81620228
2020-08-17T00:00:00+00:00,Uniswap,194483990.9367223
2020-08-18T00:00:00+00:00,Uniswap,251300724.71898317
2020-08-19T00:00:00+00:00,Uniswap,222036994.7738649
2020-08-20T00:00:00+00:00,Uniswap,235602096.83526024
2020-08-21T00:00:00+00:00,Uniswap,271378052.45627046
2020-08-22T00:00:00+00:00,Uniswap,181965128.06509462
2020-08-23T00:00:00+00:00,Uniswap,173952928.62229896
2020-08-24T00:00:00+00:00,Uniswap,217696270.11192572
2020-08-25T00:00:00+00:00,Uniswap,207117416.91882744
2020-08-26T00:00:00+00:00,Uniswap,220458513.42701045
2020-08-27T00:00:00+00:00,Uniswap,181999737.47438705
2020-08-28T00:00:00+00:00,Uniswap,249996073.81517375
2020-08-29T00:00:00+00:00,Uniswap,344505684.8172283
2020-08-30T00:00:00+00:00,Uniswap,562683159.222804
2020-08-31T00:00:00+00:00,Uniswap,637890319.1397436
2020-09-01T00:00:00+00:00,Uniswap,1011120206.2384772
2020-09-02T00:00:00+00:00,Uniswap,1007385608.6704206
2020-09-03T00:00:00+00:00,Uniswap,928709991.1421561
2020-09-04T00:00:00+00:00,Sushiswap,256.506333345455
2020-09-04T00:00:00+00:00,Uniswap,633354880.1240178
