addresses,contracts,createdAt,description,hash,metadata,name,projects,protocol,severity,scanNodeCount,source,findingType
"[""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""0x70900c53202297bd7cd4ed1635486d84e3982484""]","[{""address"":""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""name"":"""",""projectId"":""""},{""address"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""name"":"""",""projectId"":""""}]",2022-09-16T03:29:31.325199943Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: VesperMakerStrategyWBTC
 strategyAddress: 0x70900c53202297bd7cd4ed1635486d84e3982484
 poolName: vaWBTC Pool
 poolAddress: 0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD
 ",0x3b0f73d3ab33c55a4f843223ea0105659f5315308cb0d8c4ef1a962f2157ee32,"{""network"":""Ethereum"",""poolAddress"":""0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD"",""poolName"":""vaWBTC Pool"",""strategyAddress"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""strategyName"":""VesperMakerStrategyWBTC""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15543525,""hash"":""0x2e549717ba65f1d3b0cde9c887be1198ad049e07d18602cde362c0b5d6618180"",""timestamp"":""2022-09-16T03:29:11Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""0x70900c53202297bd7cd4ed1635486d84e3982484""]","[{""address"":""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""name"":"""",""projectId"":""""},{""address"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""name"":"""",""projectId"":""""}]",2022-09-16T03:19:37.400267735Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: VesperMakerStrategyWBTC
 strategyAddress: 0x70900c53202297bd7cd4ed1635486d84e3982484
 poolName: vaWBTC Pool
 poolAddress: 0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD
 ",0xfa50a463c526bc04c4c4aef7d4d20646d024bfa518e633c159c86cb9734d5eeb,"{""network"":""Ethereum"",""poolAddress"":""0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD"",""poolName"":""vaWBTC Pool"",""strategyAddress"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""strategyName"":""VesperMakerStrategyWBTC""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15543410,""hash"":""0x1d73f862fa3425a2e6331de728a67876f013dcedf40dbefef9a2e82fe263c9df"",""timestamp"":""2022-09-16T03:05:23Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0xd1c117319b3595fbc39b471ab1fd485629eb05f2"",""0x9a1a37e573ded585299fddbe99ca43853dd21d9d""]","[{""address"":""0xd1c117319b3595fbc39b471ab1fd485629eb05f2"",""name"":"""",""projectId"":""""},{""address"":""0x9a1a37e573ded585299fddbe99ca43853dd21d9d"",""name"":"""",""projectId"":""""}]",2022-09-16T00:50:51.289053249Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: AaveV2_Vesper_Xy_ETH_DAI
 strategyAddress: 0x9a1a37e573ded585299fddbe99ca43853dd21d9d
 poolName: vaETH Pool
 poolAddress: 0xd1C117319B3595fbc39b471AB1fd485629eb05F2
 ",0xb4b95780166d1739300aeb5d0d1008c4a933bd024c849d7d8034f9bee8a104d5,"{""network"":""Ethereum"",""poolAddress"":""0xd1C117319B3595fbc39b471AB1fd485629eb05F2"",""poolName"":""vaETH Pool"",""strategyAddress"":""0x9a1a37e573ded585299fddbe99ca43853dd21d9d"",""strategyName"":""AaveV2_Vesper_Xy_ETH_DAI""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15542745,""hash"":""0xcff6b52c635a86d857db24c920c683bc57dccd203583258cf5b2ae84f78246b3"",""timestamp"":""2022-09-16T00:49:59Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0x70900c53202297bd7cd4ed1635486d84e3982484"",""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd""]","[{""address"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""name"":"""",""projectId"":""""},{""address"":""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""name"":"""",""projectId"":""""}]",2022-09-14T20:45:11.726956548Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: VesperMakerStrategyWBTC
 strategyAddress: 0x70900c53202297bd7cd4ed1635486d84e3982484
 poolName: vaWBTC Pool
 poolAddress: 0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD
 ",0xc50f75e82528d77776c1194d50ee8940fc4168f8e25159c2e9022ed2615ae460,"{""network"":""Ethereum"",""poolAddress"":""0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD"",""poolName"":""vaWBTC Pool"",""strategyAddress"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""strategyName"":""VesperMakerStrategyWBTC""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15534964,""hash"":""0xd9c81322635761c84216214a72f3a05c4dfc2358914150b79bc1c6fef41e4556"",""timestamp"":""2022-09-14T20:44:09Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0x70900c53202297bd7cd4ed1635486d84e3982484"",""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd""]","[{""address"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""name"":"""",""projectId"":""""},{""address"":""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""name"":"""",""projectId"":""""}]",2022-09-14T20:43:26.353718033Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: VesperMakerStrategyWBTC
 strategyAddress: 0x70900c53202297bd7cd4ed1635486d84e3982484
 poolName: vaWBTC Pool
 poolAddress: 0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD
 ",0x06cce36cdc98ab3ec6afeb810d9177702261e619d054dc6660ed3bce890c023a,"{""network"":""Ethereum"",""poolAddress"":""0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD"",""poolName"":""vaWBTC Pool"",""strategyAddress"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""strategyName"":""VesperMakerStrategyWBTC""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15534950,""hash"":""0x621b5b2a04a8a2b434d0ffec35acebf4d325adee70167f52125e1a3faad14081"",""timestamp"":""2022-09-14T20:42:03Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0x70900c53202297bd7cd4ed1635486d84e3982484"",""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd""]","[{""address"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""name"":"""",""projectId"":""""},{""address"":""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""name"":"""",""projectId"":""""}]",2022-09-14T20:14:45.426664069Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: VesperMakerStrategyWBTC
 strategyAddress: 0x70900c53202297bd7cd4ed1635486d84e3982484
 poolName: vaWBTC Pool
 poolAddress: 0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD
 ",0xd72a6f3366ceb6f96d81b146bccbef1a30e995e5b7f17f3b98e35e089395201e,"{""network"":""Ethereum"",""poolAddress"":""0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD"",""poolName"":""vaWBTC Pool"",""strategyAddress"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""strategyName"":""VesperMakerStrategyWBTC""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15534848,""hash"":""0xd8711127781b41842b8198865e921c0ba3a913c431e283bb141e91cc06ce364a"",""timestamp"":""2022-09-14T20:14:04Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0x4dbe3f01abe271d3e65432c74851625a8c30aa7b"",""0xe27da5cb6b63c25126452acde5d876dc80268b7a""]","[{""address"":""0x4dbe3f01abe271d3e65432c74851625a8c30aa7b"",""name"":"""",""projectId"":""""},{""address"":""0xe27da5cb6b63c25126452acde5d876dc80268b7a"",""name"":"""",""projectId"":""""}]",2022-09-01T16:48:22.669736362Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: Aave_Vesper_Xy_stETH_DAI
 strategyAddress: 0xe27da5cb6b63c25126452acde5d876dc80268b7a
 poolName: vaSTETH Pool
 poolAddress: 0x4Dbe3f01aBe271D3E65432c74851625a8c30Aa7B
 ",0xb73ec01e159f8f573fc8e5d0c8e1f95d82101c7eab7ac089b42a317b417c7ba4,"{""network"":""Ethereum"",""poolAddress"":""0x4Dbe3f01aBe271D3E65432c74851625a8c30Aa7B"",""poolName"":""vaSTETH Pool"",""strategyAddress"":""0xe27da5cb6b63c25126452acde5d876dc80268b7a"",""strategyName"":""Aave_Vesper_Xy_stETH_DAI""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15453960,""hash"":""0xdc2328b2aba1b8d6d094cbffd0bdce804e230a0548bcc2c7f0a45eb2310deed9"",""timestamp"":""2022-09-01T16:43:55Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0xe27da5cb6b63c25126452acde5d876dc80268b7a"",""0x4dbe3f01abe271d3e65432c74851625a8c30aa7b""]","[{""address"":""0xe27da5cb6b63c25126452acde5d876dc80268b7a"",""name"":"""",""projectId"":""""},{""address"":""0x4dbe3f01abe271d3e65432c74851625a8c30aa7b"",""name"":"""",""projectId"":""""}]",2022-09-01T16:42:44.020384572Z,"Strategy borrow more than allowed limit. network: Ethereum
 strategyName: Aave_Vesper_Xy_stETH_DAI
 strategyAddress: 0xe27da5cb6b63c25126452acde5d876dc80268b7a
 poolName: vaSTETH Pool
 poolAddress: 0x4Dbe3f01aBe271D3E65432c74851625a8c30Aa7B
 ",0xd329653fc9b2fd43cf92b1b386ca53cfcfc1815371776fd06feaa42433b9023f,"{""network"":""Ethereum"",""poolAddress"":""0x4Dbe3f01aBe271D3E65432c74851625a8c30Aa7B"",""poolName"":""vaSTETH Pool"",""strategyAddress"":""0xe27da5cb6b63c25126452acde5d876dc80268b7a"",""strategyName"":""Aave_Vesper_Xy_stETH_DAI""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15453945,""hash"":""0xe3f55c1473a01598fc6536063cb62052e79efafcbbfb09106e70a02ee723c627"",""timestamp"":""2022-09-01T16:41:13Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0xc5cdf8cbe886fc5c1ef5cd4fdd599c975ec6bb54"",""0xd1c117319b3595fbc39b471ab1fd485629eb05f2""]","[{""address"":""0xc5cdf8cbe886fc5c1ef5cd4fdd599c975ec6bb54"",""name"":"""",""projectId"":""""},{""address"":""0xd1c117319b3595fbc39b471ab1fd485629eb05f2"",""name"":"""",""projectId"":""""}]",2022-08-27T04:04:47.452004577Z,"Strategy borrow more than allowed limit. network: Ethereum, strategyName: Vesper-Maker-Strategy-ETH, strategyAddress: 0xc5cdf8cbe886fc5c1ef5cd4fdd599c975ec6bb54, poolName: vaETH Pool, poolAddress: 0xd1C117319B3595fbc39b471AB1fd485629eb05F2, ",0x28f7d97065e12575dbe1c19ea70a8107587e8d2d27ea78104ba798e37e7d09ec,"{""network"":""Ethereum"",""poolAddress"":""0xd1C117319B3595fbc39b471AB1fd485629eb05F2"",""poolName"":""vaETH Pool"",""strategyAddress"":""0xc5cdf8cbe886fc5c1ef5cd4fdd599c975ec6bb54"",""strategyName"":""Vesper-Maker-Strategy-ETH""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15419389,""hash"":""0x648b4386852fd0f00db140c206f7d185bae9b931a1eea172e6dad9a1e0dd9540"",""timestamp"":""2022-08-27T04:03:45Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
"[""0x70900c53202297bd7cd4ed1635486d84e3982484"",""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd""]","[{""address"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""name"":"""",""projectId"":""""},{""address"":""0x01e1d41c1159b745298724c5fd3eaff3da1c6efd"",""name"":"""",""projectId"":""""}]",2022-08-27T01:07:40.499942218Z,"Strategy borrow more than allowed limit. network: Ethereum, strategyName: VesperMakerStrategyWBTC, strategyAddress: 0x70900c53202297bd7cd4ed1635486d84e3982484, poolName: vaWBTC Pool, poolAddress: 0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD, ",0x73e97f7b1fd3c1caf34097a91ca07304df0f1ec1e38c73e3839ba0ce9ed5c710,"{""network"":""Ethereum"",""poolAddress"":""0x01e1d41C1159b745298724c5Fd3eAfF3da1C6efD"",""poolName"":""vaWBTC Pool"",""strategyAddress"":""0x70900c53202297bd7cd4ed1635486d84e3982484"",""strategyName"":""VesperMakerStrategyWBTC""}",Strategy borrow more than allowed limit.,,Vesper,CRITICAL,1,"{""transactionHash"":"""",""block"":{""number"":15418651,""hash"":""0x6b97d0212d1de4e5934fc1462fbd7397514d4dcc4a9ac0b1958ee42b65d8d3f2"",""timestamp"":""2022-08-27T01:06:41Z"",""chainId"":1},""bot"":{""id"":""0xec42861f777513e2d641e656705d264cac320eee10bfac64a70009d1da57cc31"",""name"":null}}",INFORMATION
