block_time,name,original_amount,original_currency,usd_amount,nft_token_ids_array,number_of_items,,,,,,
2022-05-24T19:14:49+00:00,Zero Name Service,0.62,ETH,1210.2586,['5355595742927714741821812076289859278698040091023585470247126596571432498752'],1,,,,,,
2022-05-24T19:10:17+00:00,HUXLEY Comics,0.11,ETH,214.7354,['1606'],1,,,,,,
2022-05-24T18:24:30+00:00,Meta-Legends,0.08,ETH,157.0256,['10816'],1,,,,,,
2022-05-24T18:04:11+00:00,Benji Bananas : Membership Pass,0.36,ETH,703.0332,['1'],1,,,,,,
2022-05-24T17:56:39+00:00,RKLSneakers,0.075,ETH,146.46375,['1762'],1,,,,,,
2022-05-24T17:54:26+00:00,RKLSneakers,0.075,ETH,146.17725,['3475'],1,,,,,,
2022-05-24T17:54:26+00:00,Jenkins the Valet,1.33,ETH,2592.2099,['1898'],1,,,,,,
2022-05-24T17:51:22+00:00,Angry Pitbull Club,0.09,ETH,175.4127,['8374'],1,,,,,,
2022-05-24T17:48:12+00:00,FVCK_AVATAR//,0.149,ETH,290.25349,"['8570', '8570', '8670', '8670', '8670', '8670', '8570', '8570']",8,,,,,,
2022-05-24T17:48:12+00:00,FVCK_AVATAR//,0.149,ETH,290.25349,"['8570', '8570', '8670', '8670', '8570', '8670', '8670', '8570']",8,,,,,,
2022-05-24T17:48:12+00:00,FVCK_AVATAR//,0.149,ETH,290.25349,"['8570', '8570', '8670', '8670', '8570', '8670', '8670', '8570']",8,,,total_stolen,total_victims,sold-amount,total_sold
2022-05-24T17:48:12+00:00,FVCK_AVATAR//,0.149,ETH,290.25349,"['8570', '8570', '8670', '8670', '8670', '8670', '8570', '8570']",8,,,196,68,57,171
2022-05-24T17:23:29+00:00,Apes Stand Together,0.179,ETH,348.9247,['680564733841876926926749214863536422996'],1,,,,,,
2022-05-24T17:08:37+00:00,Meta Eagle Club,0.07,ETH,136.8115,['4155'],1,,,,,,
2022-05-24T17:07:21+00:00,Fancy Bears,0.36,ETH,703.602,['548'],1,,,,,,
2022-05-24T17:07:21+00:00,Fancy Bears,0.36,ETH,703.602,['4421'],1,,,,,,
2022-05-24T16:59:45+00:00,Dream Catcher Open Editions by Steve Aoki x Antoni Tudisco,0.09,ETH,176.5656,['13300020601'],1,,,,,,
2022-05-24T16:45:31+00:00,Sandbox's LANDs,1.59,ETH,3115.605,['24906'],1,,,,,,
2022-05-24T16:36:41+00:00,Substrata Parcel,0.12,ETH,235.2912,['392'],1,,,,,,
2022-05-24T16:27:38+00:00,FVCK_AVATAR//,0.149,ETH,292.86099,"['7056', '7644', '7644', '7056']",4,,,,,,
2022-05-24T16:27:38+00:00,FVCK_AVATAR//,0.149,ETH,292.86099,"['7056', '7644', '7644', '7056']",4,,,,,,
2022-05-24T16:24:20+00:00,KPOPCTzen_Official,0.15,ETH,294.9405,['2165'],1,,,,,,
2022-05-24T16:21:22+00:00,KPOPCTzen_Official,0.15,ETH,294.9405,['6832'],1,,,,,,
2022-05-24T16:16:28+00:00,Sandbox's LANDs,1.59,ETH,3119.8026,['13617'],1,,,,,,
2022-05-24T16:15:56+00:00,Neo Samurai Monkeys,0.14,ETH,274.5708,['1955'],1,,,,,,
2022-05-24T16:15:07+00:00,Cyber Factory 2,4.32,ETH,8472.4704,['5'],1,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.199,ETH,390.28278,"['3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3802', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3500', '3501', '3501', '2112', '2112', '2112', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '4049', '2112', '2112', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '2112', '4041', '4041', '4041', '2112', '2112', '4041', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '3499', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2112', '1761', '1761', '2417', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '676', '2417', '2112', '2112', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '4788', '3500', '3500', '3500', '3500', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2661', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2417', '2112', '2417', '2417', '3500', '3500', '3500', '3500', '3500', '3500', '3500']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.2368,ETH,464.416896,"['3802', '4049', '4049', '4049', '3802', '2661', '4049', '4049', '3802', '4049', '4049', '4049', '3501', '2417', '2417', '2417', '2417', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '2417', '3501', '3802', '3501', '4049', '4049', '2661', '2661', '4049', '3802', '2417', '2661', '3802', '3802', '3500', '4049', '2661', '2661', '2661', '3500', '3802', '2661', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '3500', '3500', '3802', '3802', '4041', '2112', '3802', '4788', '4788', '4041', '4041', '4788', '4041', '4788', '2112', '3499', '3499', '3499', '2112', '3500', '2112', '3499', '3499', '3499', '3499', '2112', '3499', '3499', '3499', '3499', '3499', '1761', '4788', '4788', '4788', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2661', '2661', '1761', '676', '676', '676', '676', '676', '676', '676', '2661', '2661', '2112', '4788', '676', '676', '676', '676', '676', '4788', '4788', '4788', '4788', '2417', '2417', '2417', '2417', '2417', '3500', '2112', '3500', '2112', '2112', '3500', '2112', '3500', '3500', '2112', '2112', '3500', '3500', '2417', '3802']",144,,,,,,
2022-05-24T16:13:04+00:00,GRAYCRAFT2,0.25,ETH,490.305,"['3802', '4049', '4049', '4049', '3802', '2661', '4049', '4049', '3802', '4049', '4049', '4049', '3501', '2417', '2417', '2417', '2417', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '3501', '2417', '3501', '3802', '3501', '4049', '4049', '2661', '2661', '4049', '3802', '2417', '2661', '3802', '3802', '3500', '4049', '2661', '2661', '2661', '3500', '3802', '2661', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '4041', '3500', '3500', '3802', '3802', '4041', '2112', '3802', '4788', '4788', '4041', '4041', '4788', '4041', '4788', '2112', '3499', '3499', '3499', '2112', '3500', '2112', '3499', '3499', '3499', '3499', '2112', '3499', '3499', '3499', '3499', '3499', '1761', '4788', '4788', '4788', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '1761', '2661', '2661', '1761', '676', '676', '676', '676', '676', '676', '676', '2661', '2661', '2112', '4788', '676', '676', '676', '676', '676', '4788', '4788', '4788', '4788', '2417', '2417', '2417', '2417', '2417', '3500', '2112', '3500', '2112', '2112', '3500', '2112', '3500', '3500', '2112', '2112', '3500', '3500', '2417', '3802']",144,,,,,,
