holder,total_stolen
\x3913fe59404205873a0af9cea4ad78850f48dc37,18
\xd7c879147f888fa4094428293ae85b4a711347f6,4
\xc76a59f2cf715547504244364d494f8aae243989,3
\x0dd2b5558f87c724641edb3d82d3533b4b5eae94,2
\x4c5cc67e38a3871f6608ce0d8e3c08e13eada196,2
\x5bdba3199908445057b469ee6caef09f5f49d18e,2
\x137d82b10187aba306aea51101f4331e6b6e37a3,1
\xe7a7294afcb6ac4fb7290186a0b03892c6065603,1
\x5172dee0385235f5aef32d9c15c8953fd8613ba1,1
\xe7d3a4d13b3b17060c1ef97c47064216a99071e6,1
\x8dc961d2cd6502a484e28e1a3100f8fc34f4ac7c,1
\xc0084ea924a9b381fc9d80ab888fd7f0d7250ecc,1
\xc47455993d7cff6248dc594baa8c3b6fbf9f0f93,1
\x11c68f5ca4b11eaa05856ed0fbdd488a6d60d389,1
\xd6e53c4a99827431ae1126ad6d1acd660ce56215,1
\x0de56b00a44a43df451ae66756f40d2f8f07f08c,1
\xd8c3b43dcb54a98bbb1d859c743fd3eb0666cecd,1
\x2c67ecf78e0603918f289a09a8af3846dc6e5f2d,1
\x2ef88ff20fdaf43b7d893ba10ddf516d100f2440,1
