block_time,nft_project_name,nft_token_id,erc_standard,platform,platform_version,trade_type,number_of_items,category,evt_type,usd_amount,seller,buyer,original_amount,original_amount_raw,original_currency,original_currency_contract,currency_contract,nft_contract_address,exchange_contract_address,tx_hash,block_number,nft_token_ids_array,senders_array,recipients_array,erc_types_array,nft_contract_addresses_array,erc_values_array,tx_from,tx_to,trace_address,evt_index,trade_id
2022-05-28T15:58:31+00:00,,5167,erc721,LooksRare,1,Single Item Trade,1,Offer Accepted,Trade,4492.375,\xf0848ba8722a6f7bc95cafe33f3d8fb1f451bbe1,\xbbb911e4354c1c5dab8a0bae5aeec918de390e2a,2.5,2500000000000000000,WETH,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x59728544b08ab483533076417fbbb2fd0b17ce3a,\x0834487179cc6c84d68976d93eccf3b1848d17a394195266f26fb4f585e34f0d,14861197,['5167'],['\\xf0848ba8722a6f7bc95cafe33f3d8fb1f451bbe1'],['\\xbbb911e4354c1c5dab8a0bae5aeec918de390e2a'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xbbb911e4354c1c5dab8a0bae5aeec918de390e2a,\x59728544b08ab483533076417fbbb2fd0b17ce3a,[],212,1
2022-05-23T16:37:16+00:00,,1078362996704702678966355626712196019658910609534,erc721,OpenSea,1,Single Item Trade,1,Buy,Trade,1096.6177,\x452400942a5c8ac78d364837a01f539c387032be,\xed5934e09cdbce472af3ae5ac1506635900aa707,0.53,530000000000000000,ETH,\x0000000000000000000000000000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x7f268357a8c2552623316e2562d90e642bb538e5,\x0c3eca3a27ee45857e72c7699ec8ff0fa1cef6bb7e8b3515852c4503b028c502,14830657,['2899'],['\\x452400942a5c8ac78d364837a01f539c387032be'],['\\xed5934e09cdbce472af3ae5ac1506635900aa707'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xed5934e09cdbce472af3ae5ac1506635900aa707,\x7f268357a8c2552623316e2562d90e642bb538e5,[],334,1
2022-05-23T16:44:05+00:00,,1078362996704702678966355626712196019658910609534,erc721,OpenSea,1,Single Item Trade,1,Buy,Trade,1098.0275,\xe1a90aeea02477074f79f1853bcb4280a9b13076,\xfecea928a996918dfe3242e7580ba3288d4ccd2c,0.53,530000000000000000,ETH,\x0000000000000000000000000000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x7f268357a8c2552623316e2562d90e642bb538e5,\xca550f3f587fac5510fb284d281cfbde52fbb711262840dfe8e7df5232918999,14830688,['5367'],['\\xe1a90aeea02477074f79f1853bcb4280a9b13076'],['\\xfecea928a996918dfe3242e7580ba3288d4ccd2c'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xfecea928a996918dfe3242e7580ba3288d4ccd2c,\x7f268357a8c2552623316e2562d90e642bb538e5,[],22,1
2022-05-23T15:13:40+00:00,,8049,erc721,LooksRare,1,Single Item Trade,1,Offer Accepted,Trade,1136.5695,\x452400942a5c8ac78d364837a01f539c387032be,\x22b2315d0a987c0d08a488615846afa99942aee0,0.55,550000000000000000,WETH,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x59728544b08ab483533076417fbbb2fd0b17ce3a,\xef2984f468bb9ecc673d09b918670203ef8609ada5c6a30e8421a84390f1fcce,14830297,['8049'],['\\x452400942a5c8ac78d364837a01f539c387032be'],['\\x22b2315d0a987c0d08a488615846afa99942aee0'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\x22b2315d0a987c0d08a488615846afa99942aee0,\x59728544b08ab483533076417fbbb2fd0b17ce3a,[],204,1
2022-05-23T15:25:39+00:00,,8658,erc721,LooksRare,1,Single Item Trade,1,Offer Accepted,Trade,1134.5455,\x452400942a5c8ac78d364837a01f539c387032be,\xc4c2bcc816428d141889b8e5d31ba8954df1a687,0.55,550000000000000000,WETH,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x59728544b08ab483533076417fbbb2fd0b17ce3a,\xfe66a28599ad20b8fc3802406b4a8b25fbf513768ab52a4eafb1289b23bf3054,14830348,['8658'],['\\x452400942a5c8ac78d364837a01f539c387032be'],['\\xc4c2bcc816428d141889b8e5d31ba8954df1a687'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xc4c2bcc816428d141889b8e5d31ba8954df1a687,\x59728544b08ab483533076417fbbb2fd0b17ce3a,[],149,1
2022-05-23T15:20:24+00:00,,1078362996704702678966355626712196019658910609534,erc721,OpenSea,1,Single Item Trade,1,Buy,Trade,1136.9875,\x452400942a5c8ac78d364837a01f539c387032be,\xb6f9e202cc73d652f2a8bc8e6b27bb8798ab1aa1,0.55,550000000000000000,ETH,\x0000000000000000000000000000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x7f268357a8c2552623316e2562d90e642bb538e5,\x815d5447b1dc79403c6556239343ae51d8e6b7c7db60076812976c65091f4d31,14830325,['3903'],['\\x452400942a5c8ac78d364837a01f539c387032be'],['\\xb6f9e202cc73d652f2a8bc8e6b27bb8798ab1aa1'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xb6f9e202cc73d652f2a8bc8e6b27bb8798ab1aa1,\x7f268357a8c2552623316e2562d90e642bb538e5,[],35,1
2022-05-23T16:49:41+00:00,,1078362996704702678966355626712196019658910609534,erc721,OpenSea,1,Single Item Trade,1,Buy,Trade,1139.0775,\x452400942a5c8ac78d364837a01f539c387032be,\xfcf744ee8b76e7f3a2e2cb510487cf8f0926e819,0.55,550000000000000000,ETH,\x0000000000000000000000000000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x7f268357a8c2552623316e2562d90e642bb538e5,\x1ad93c931ea905080e4321273ed6849bd52b38c84dfe4062ced82036a0eda59d,14830712,['3793'],['\\x452400942a5c8ac78d364837a01f539c387032be'],['\\xfcf744ee8b76e7f3a2e2cb510487cf8f0926e819'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xfcf744ee8b76e7f3a2e2cb510487cf8f0926e819,\x7f268357a8c2552623316e2562d90e642bb538e5,[],441,1
2022-05-23T17:42:50+00:00,,1078362996704702678966355626712196019658910609534,erc721,OpenSea,1,Single Item Trade,1,Buy,Trade,2054.6,\x452400942a5c8ac78d364837a01f539c387032be,\xdc1dd9bd79ab97e630e420f1430d14e818c6b0fc,1,1000000000000000000,ETH,\x0000000000000000000000000000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x7f268357a8c2552623316e2562d90e642bb538e5,\xda26bee3f36d2f29c88459e730a0b76a4a6447cb299f07882a740608a13e5dc0,14830935,['4171'],['\\x452400942a5c8ac78d364837a01f539c387032be'],['\\xdc1dd9bd79ab97e630e420f1430d14e818c6b0fc'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xdc1dd9bd79ab97e630e420f1430d14e818c6b0fc,\x7f268357a8c2552623316e2562d90e642bb538e5,[],411,1
2022-05-24T17:26:15+00:00,,3438,erc721,LooksRare,1,Single Item Trade,1,Offer Accepted,Trade,991.7511,\xe1a90aeea02477074f79f1853bcb4280a9b13076,\x81594cc325ae1ef154332462499be3c06fd55268,0.51,510000000000000000,WETH,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x59728544b08ab483533076417fbbb2fd0b17ce3a,\xd274fd1a7e074d3b9ab3692f2f753acee37e729c9d34aef3cc088f61f86c74d9,14836995,['3438'],['\\xe1a90aeea02477074f79f1853bcb4280a9b13076'],['\\x81594cc325ae1ef154332462499be3c06fd55268'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\x81594cc325ae1ef154332462499be3c06fd55268,\x59728544b08ab483533076417fbbb2fd0b17ce3a,[],548,1
2022-05-25T11:35:29+00:00,,1465,erc721,LooksRare,1,Single Item Trade,1,Offer Accepted,Trade,1115.1936,\xf0848ba8722a6f7bc95cafe33f3d8fb1f451bbe1,\xc468c8033a208c214b4c4021e493038f0e5de706,0.57,570000000000000000,WETH,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,\x59728544b08ab483533076417fbbb2fd0b17ce3a,\x1961a7ac0fb595923f0451ab7a53d72e2ceffaf5eca344ee3d714376298d9633,14841655,['1465'],['\\xf0848ba8722a6f7bc95cafe33f3d8fb1f451bbe1'],['\\xc468c8033a208c214b4c4021e493038f0e5de706'],['erc721'],['\\xbce3781ae7ca1a5e050bd9c4c77369867ebc307e'],[None],\xc468c8033a208c214b4c4021e493038f0e5de706,\x59728544b08ab483533076417fbbb2fd0b17ce3a,[],464,1
